"Taxes","Baths","Fire","Sales"
"1",4.918,1,0,127.6
"2",5.021,1,1,137
"3",4.543,1,0,126.6
"4",4.557,1,0,116.6
"5",5.06,1,1,134.6
"6",3.891,1,1,122.6
"7",5.898,1,1,138.6
"8",5.604,1,1,130.6
"9",5.828,1,1,146.6
"10",5.3,1,0,141
"11",6.271,1,1,139
"12",5.959,1,1,138.6
"13",5.05,1,0,133
"14",6.746,1.5,1,154.6
"15",5.197,1.5,1,147.6
"16",6.284,1.5,0,142
"17",6.038,1,0,147
"18",5.989,1,0,153
"19",6.042,1.5,1,148.4
"20",7.295,1.5,1,158
"21",4.583,1.5,1,131.6
"22",6.861,1.5,0,150.8
"23",6.31,1,0,147
"24",7.642,1.5,0,163.2
"25",5.5,1.5,0,140
"26",6.5,1.5,0,152
"27",7,1.5,1,166
"28",6,1.5,0,152
"29",5.1,1.5,0,140
"30",5.8,1.5,1,148
"31",6.7,1.5,1,158
"32",7.1,1.5,0,170
